college,dept,year,count,url
Agriculture,Agricultural Economics & Economics.,1976,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1976&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Agricultural+Economics+%26+Economics.
Agriculture,Agricultural Economics & Economics.,1982,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1982&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Agricultural+Economics+%26+Economics.
Agriculture,Agricultural Economics & Economics.,1984,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1984&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Agricultural+Economics+%26+Economics.
Agriculture,Agricultural Economics & Economics.,1985,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1985&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Agricultural+Economics+%26+Economics.
Agriculture,Agricultural Economics & Economics.,1986,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1986&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Agricultural+Economics+%26+Economics.
Agriculture,Agricultural Economics & Economics.,1997,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1997&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Agricultural+Economics+%26+Economics.
Arts & Architecture,Applied Art.,1932,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1932&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Arts & Architecture,Applied Art.,1949,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1949&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Arts & Architecture,Applied Art.,1950,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1950&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Arts & Architecture,Applied Art.,1952,2,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1952&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Arts & Architecture,Applied Art.,1954,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1954&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Arts & Architecture,Applied Art.,1957,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1957&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Arts & Architecture,Applied Art.,1958,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1958&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Animal+Art.
Business,Business Education.,1971,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1971&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1972,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1972&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1977,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1977&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1990,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1990&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1991,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1991&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1993,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1993&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1994,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1994&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1995,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1995&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Business+Education.
Business,Business Education.,1996,1,http://scholarworks.montana.edu/xmlui/handle/1/733/discover?filtertype_1=dateIssued&filter_relational_operator_1=equals&filter_1=1996&filtertype_2=department&filter_relational_operator_2=equals&filter_2=Cell+Biology+%26+Neuroscience.
